model	language	perturbation	dev_acc	test_acc
mBERT	Croatian	mBERT-subw	97.79203301632874	97.99505358615004
mBERT	Czech	mBERT-lc-1	95.0127892451371	94.9020541827925
mBERT	Czech	mBERT-lc-2	93.32936767592648	93.26228044060733
mBERT	Czech	mBERT-subw	97.40408066147165	97.36826436439416
mBERT	Danish	mBERT-lc-1	90.37746806039488	90.64751072533173
mBERT	Danish	mBERT-lc-2	87.2744870305846	87.72622967175496
mBERT	Danish	mBERT-subw	96.71506000774293	96.53397186471116
mBERT	Dutch	mBERT-lc-1	89.29431119577453	88.75418438433005
mBERT	Dutch	mBERT-lc-2	86.53043553554421	86.0490364606894
mBERT	Dutch	mBERT-subw	96.94345830807863	96.20555505292683
mBERT	English	mBERT-lc-1	87.77818582445832	88.64595545134819
mBERT	English	mBERT-lc-2	84.78149100257069	86.00820633059789
mBERT	English	mBERT-subw	95.35806096217408	96.50644783118405
mBERT	Estonian	mBERT-lc-1	82.07955338450802	83.19599362622354
mBERT	Estonian	mBERT-lc-2	79.67700129598245	80.26253888762425
mBERT	Estonian	mBERT-subw	89.56833815172965	90.7838227483117
mBERT	Faroese	mBERT-lc-1	88.3674168856392	89.86697513013301
mBERT	Faroese	mBERT-lc-2	86.43893522220954	87.29670329670328
mBERT	Faroese	mBERT-subw	93.66845652919	94.1122035858878
mBERT	Finnish	mBERT-lc-1	31.363946470742587	88.26469752911103
mBERT	Finnish	mBERT-lc-2	30.826554710049855	85.0364479787939
mBERT	Finnish	mBERT-subw	94.43863091345106	94.66250118337595
mBERT	French	mBERT-lc-1	27.050690130290796	26.83876800220986
mBERT	French	mBERT-lc-2	26.918223790761193	26.770965433245856
mBERT	French	mBERT-subw	27.17397084773622	27.043431312230826
mBERT	Galician	mBERT-lc-1	94.9940038744196	94.83914788514974
mBERT	Galician	mBERT-lc-2	92.51253036499494	92.41926520531027
mBERT	Galician	mBERT-subw	97.20549798591678	97.04476690336524
mBERT	German	mBERT-lc-1	90.17629852162227	90.77170801526718
mBERT	German	mBERT-lc-2	88.09866392600206	89.03983778625954
mBERT	German	mBERT-subw	94.1513163095897	94.03029580152672
mBERT	Gothic	mBERT-lc-1	83.68202491595808	84.05961953324181
mBERT	Gothic	mBERT-lc-2	81.77377892030849	82.46518925279466
mBERT	Gothic	mBERT-subw	87.12873245006922	86.83075112767209
mBERT	Greek	mBERT-lc-1	93.99646412952453	94.30324116462187
mBERT	Greek	mBERT-lc-2	93.14785521540895	93.34004761032777
mBERT	Greek	mBERT-subw	97.1043081790267	97.49862662516024
mBERT	Hebrew	mBERT-lc-1	92.47376742848928	92.17310868847044
mBERT	Hebrew	mBERT-lc-2	90.44271956303005	90.05351833498514
mBERT	Hebrew	mBERT-subw	96.68822768434671	95.98282127518995
mBERT	Hindi	mBERT-lc-1	91.08953062441434	90.88004515946938
mBERT	Hindi	mBERT-lc-2	89.41533918278103	88.95681625740897
mBERT	Hindi	mBERT-subw	95.79123718658602	95.66130397967825
mBERT	Hindi_English	mBERT-lc-1	27.42304309586631	27.138088012139605
mBERT	Hindi_English	mBERT-lc-2	27.469950161243037	27.083459787556897
mBERT	Hindi_English	mBERT-subw	27.464086778070946	27.216995447647946
mBERT	Hungarian	mBERT-lc-1	90.74969346645648	88.79019908116386
mBERT	Hungarian	mBERT-lc-2	88.2063408653004	86.59264931087289
mBERT	Hungarian	mBERT-subw	96.24978104746891	95.4613323124043
mBERT	Icelandic	mBERT-lc-1	53.9996710032256	87.06643016536017
mBERT	Icelandic	mBERT-lc-2	27.542085125017046	11.39985792486732
mBERT	Icelandic	mBERT-subw	59.02946027412842	92.56866166962293
mBERT	Indonesian	mBERT-lc-1	87.98511512520352	88.13298805446496
mBERT	Indonesian	mBERT-lc-2	85.87332351345064	85.83911118536463
mBERT	Indonesian	mBERT-subw	93.6181099310024	93.72149360955643
mBERT	Irish	mBERT-lc-1	87.44399999999999	50.04556259904912
